Round#,Food,Metal,Ore,Tools,Wood,Work
0,0.51,2.0,0.255,3.0,0.51,1.02
1,0.5134,2.0,0.255,3.0,0.5202,1.02
2,0.5134,2.0,0.255,3.0,0.6460170000000001,1.02
3,0.3818702228571428,0.392751,0.255,3.0,1.9085560000000001,1.02
4,0.5236391927272727,0.4032333768,0.2579142857142857,3.0,0.68,1.02
5,0.799,0.4325569462095238,0.2601,0.5428516248672001,0.7752340000000001,1.02
6,0.33647922842105266,0.34977665596190477,0.2985498367346938,0.5428516248672001,0.70006,1.0302
7,0.3866970733333333,0.5815966673023605,0.255,0.5947479263998912,0.9652600000000001,1.02
8,0.4084794161904762,0.40508832644557813,0.2689898390888889,0.5947479263998912,0.51,1.02
9,0.39252895571428564,0.341822025375649,0.27366421574344024,0.5947479263998912,0.51,1.02
10,0.4105433807936509,0.421289613291777,0.309778651680522,0.5947479263998912,0.51,1.02
11,0.3149146145766933,0.6201469219307325,0.309778651680522,0.5947479263998912,0.5567032940488889,1.02
12,0.3282416695726496,1.02,0.309778651680522,0.5947479263998912,0.5578662830526424,1.02
13,0.32234539528613876,1.0245775754097233,0.309778651680522,0.5947479263998912,0.51,1.02
14,0.2729813188130468,1.0552833025592823,0.36263650363018846,0.5947479263998912,0.51,1.02
15,0.519292095643874,1.02,0.36263650363018846,0.5947479263998912,0.51,1.02
16,0.3919019462596027,0.5046538197540227,0.392751,0.5947479263998912,0.51,1.02
17,0.30297025275237216,0.5046538197540227,0.3945949195444445,0.6163420851337142,0.51,1.02
18,0.43252590652608064,0.5486296107822607,0.4063218615479911,0.9365478082409927,0.51,1.02
19,0.371916807629499,0.5486296107822607,0.4063218615479911,0.9365478082409927,0.51,1.02
20,0.36186933227132373,0.5486296107822607,0.4063218615479911,0.9365478082409927,0.51,1.02
21,0.38784188518892376,0.5486296107822607,0.4063218615479911,0.9365478082409927,0.51,1.02
22,0.32145773346560663,0.5486296107822607,0.4063218615479911,0.9365478082409927,0.51,1.02
23,0.34768949825077716,0.5486296107822607,0.4063218615479911,0.9365478082409927,0.51,1.02
24,0.30085634355428176,0.5486296107822607,0.4063218615479911,0.9365478082409927,0.51,1.02
25,0.2792542342121411,0.5486296107822607,0.4063218615479911,0.9365478082409927,0.51,1.02
26,0.4403772234171121,0.5486296107822607,0.4063218615479911,0.9365478082409927,0.51,1.02
